Ordem do ponto,Modelo,Servico,RMSE,MAE,MAPE,MAD,num_obs
9,Médias históricas,F:/Dados/SMTR/linhas/010.csv,3.827033000147422,2.88323731729344,0.22644467372307686,2.1874999999999996,16470
10,Médias históricas,F:/Dados/SMTR/linhas/010.csv,4.051283162544342,3.0813172808363327,0.21503648566602246,2.425,16470
11,Médias históricas,F:/Dados/SMTR/linhas/010.csv,4.454500792394449,3.436702938988095,0.2157848202881539,2.7131944444444445,16470
12,Médias históricas,F:/Dados/SMTR/linhas/010.csv,4.456005052291131,3.340311955965182,0.18204136535506418,2.5666666666666673,16470
13,Médias históricas,F:/Dados/SMTR/linhas/010.csv,5.4200917442505965,4.015231481481481,0.20319514775861425,2.8583333333333325,16470
14,Médias históricas,F:/Dados/SMTR/linhas/010.csv,6.738114978419542,4.877272727272726,0.21681641540305008,3.2499999999999982,16470
Total,Médias históricas,F:/Dados/SMTR/linhas/014.csv,2.7278138533990495,1.9089590035163118,0.4715250242887668,1.2666666666666657,66158
1,Médias históricas,F:/Dados/SMTR/linhas/014.csv,1.0413675293969054,0.668870273298478,1.2794593965658494,0.39583333333333337,66158
2,Médias históricas,F:/Dados/SMTR/linhas/014.csv,1.574085999725374,1.0477407434825046,0.6364356216595107,0.6555555555555558,66158
3,Médias históricas,F:/Dados/SMTR/linhas/014.csv,1.7918452842248944,1.270317797270396,0.49546187487764115,0.8750000000000002,66158
4,Médias históricas,F:/Dados/SMTR/linhas/014.csv,2.3172214224956975,1.6362084346004064,0.4694033501766175,1.1067460317460318,66158
5,Médias históricas,F:/Dados/SMTR/linhas/014.csv,2.643576959865629,1.910235249723145,0.4359214546114449,1.3120535714285717,66158
6,Médias históricas,F:/Dados/SMTR/linhas/014.csv,2.8296915588505214,2.0663372734907797,0.44177081155558345,1.4833333333333325,66158
7,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.191701775627647,2.4112067512815343,0.4584027350778293,1.8900000000000006,66158
8,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.3918829815605958,2.570413642845256,0.45122272763261445,1.9708333333333332,66158
9,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.6303628489238786,2.763385286511648,0.40200620912671065,2.158333333333333,66158
10,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.5495565448272153,2.7053532763079673,0.33541765565665815,2.0902777777777786,66158
11,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.4379420185549954,2.5800699001331893,0.2743460165713191,1.9433333333333334,66158
12,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.2014437181237585,2.3765166861162617,0.23024240747266622,1.7666666666666657,66158
13,Médias históricas,F:/Dados/SMTR/linhas/014.csv,2.9651464918918613,2.215864029728294,0.19535291855548753,1.6916666666666664,66158
14,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.0386353190032303,2.252273652725685,0.17991909806945278,1.6295833333333336,66158
15,Médias históricas,F:/Dados/SMTR/linhas/014.csv,2.859240755934988,2.1414477567214343,0.1559851736282753,1.5763888888888884,66158
16,Médias históricas,F:/Dados/SMTR/linhas/014.csv,2.7960227803484,2.1115563297294067,0.1436661018106499,1.6333333333333346,66158
17,Médias históricas,F:/Dados/SMTR/linhas/014.csv,2.951100439442669,2.189871521526054,0.13807170296688562,1.6666666666666679,66158
18,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.4140341239046137,2.4331733778410993,0.13187599304038986,1.6666666666666643,66158
19,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.1721294283448422,2.317651911852943,0.1188665073636906,1.7416666666666671,66158
20,Médias históricas,F:/Dados/SMTR/linhas/014.csv,3.5112829131722747,2.5104971468561583,0.12502906499008803,1.6597222222222214,66158
Total,Médias históricas,F:/Dados/SMTR/linhas/100.csv,0.6609176396892679,0.45934150326797385,0.5043124024930483,0.2833333333333332,590
1,Médias históricas,F:/Dados/SMTR/linhas/100.csv,0.5992173366467844,0.42951967592592594,0.5404998488003218,0.2749999999999999,590
2,Médias históricas,F:/Dados/SMTR/linhas/100.csv,0.7473635229798052,0.5135172143974961,0.4742073904115262,0.2833333333333332,590
3,Médias históricas,F:/Dados/SMTR/linhas/100.csv,0.20893124078147243,0.13148148148148145,0.05879940658965243,0.033333333333333215,590
4,Médias históricas,F:/Dados/SMTR/linhas/100.csv,NA,NA,NA,NA,590
5,Médias históricas,F:/Dados/SMTR/linhas/100.csv,NA,NA,NA,NA,590
6,Médias históricas,F:/Dados/SMTR/linhas/100.csv,NA,NA,NA,NA,590
7,Médias históricas,F:/Dados/SMTR/linhas/100.csv,NA,NA,NA,NA,590
8,Médias históricas,F:/Dados/SMTR/linhas/100.csv,NA,NA,NA,NA,590
