Ordem do ponto,Modelo,Servico,RMSE,MAE,MAPE,MAD,num_obs
19,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,3.8970581875103973,3.0330637338559394,0.1469073298037639,2.0548231518674447,66158
20,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,4.335600658585333,3.3603260370694237,0.15222898391356793,1.9105996398109113,66158
Total,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,0.7614538512853982,0.5820765638397745,0.7706643151412721,0.4225321666484191,590
1,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,0.695647525041323,0.5647430333292992,1.019481837087842,0.4213967009022367,590
2,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,0.7876353211655537,0.5473888566139052,0.46504273716638234,0.4066475516317971,590
3,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,0.9307298187465732,0.7259446649240561,0.4648747829368405,0.28938548885149507,590
4,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,0.8764221498519403,0.7495221527490256,0.36355107034497613,0.4372496617647663,590
5,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,1.034653904352375,0.9141948685635617,0.4243126801582813,0.4845167118724243,590
6,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,1.8336179031085824,1.4661093786505108,0.8644172878521488,1.4661093786505108,590
7,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,0.5889785645005254,0.5889785645005254,0.09398594114370087,0,590
8,Deep Neural Network,F:/Dados/SMTR/linhas/100.csv,1.4156017814247006,1.4156017814247006,0.312265098843684,0,590
Total,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.159353241935404,4.693319046735291,1.0503641372952388,3.5632782198469704,118547
1,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.552308646115632,4.818595894083516,5.924952945782773,3.3935228973117884,118547
2,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.59825316113304,4.854606343761622,2.641995403307007,3.3896003491174365,118547
3,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.448360268933046,4.719186489466093,1.5449048050482224,3.291393670641755,118547
4,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.366160903019153,4.69775299281124,1.0875135192098644,3.4068943938341953,118547
5,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.4194323050942215,4.764291858095106,0.8635472913453057,3.4606087894515927,118547
6,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.31868601502589,4.701287485575762,0.7133145974779453,3.3997403709386496,118547
7,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.4067195639584895,4.836118939633742,0.6265368886030108,3.620391303344297,118547
8,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.191619058970427,4.716666407381896,0.5259364677060626,3.626465962481058,118547
9,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.181013961673494,4.761134495892172,0.47047064052464654,3.7400836305307,118547
10,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.031921723205902,4.6823031212937565,0.4083695633087188,3.6791813286911665,118547
11,Deep Neural Network,F:/Dados/SMTR/linhas/104.csv,6.039001015996192,4.688696949086178,0.3771799820108904,3.610655351218611,118547
