feed_version,feed_start_date,feed_end_date,stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,versao_modelo
2024-03-18,2024-03-18, ,3040O00020C2, ,Estádio Leônidas da Silva, , ,-22.861646,-43.253842, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5141O00258C0, ,Expedito Ribeiro dos Santos, , ,-22.89088,-43.454784, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2031O00022C0, ,GRES Acadêmicos da Rocinha, , ,-22.992826,-43.25213, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3061O00009C0, ,Garagem Auto Viação Alpha, , ,-22.910253,-43.27102, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2031O00014C0, ,Gavea Golf and Country Club, , ,-22.99749,-43.26473, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2020O00080C0, ,General Cornélio de Barros, , ,-22.95871,-43.195732, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5149O00278C9, ,Igreja Missionária Cristã, , ,-22.94128,-43.67468, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2022O00019C0, ,Instituto Benjamin Constant, , ,-22.95303,-43.1717, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2022O00001C0, ,Instituto Benjamin Constant, , ,-22.95299,-43.17244, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3042O00080C0, ,Jorge Gonçalves de Araújo, , ,-22.84899,-43.27283, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3106O00044C9, ,Jornalista Hermano Requião, , ,-22.845803,-43.377968, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3106O00009C1, ,Jornalista Hermano Requião, , ,-22.84578,-43.37888, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2027O00088C0, ,Ministro Armando de Alencar, , ,-22.96909,-43.20551, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2027O00085C0, ,Ministro Armando de Alencar, , ,-22.969278,-43.205277, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2024O00050C0, ,Ministro Viveiros de Castro, , ,-22.963549,-43.17452, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2024O00103C0, ,Nossa Senhora de Copacabana, , ,-22.970764,-43.185404, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3078O00008C0, ,Parque Quatorze de Setembro, , ,-22.88717,-43.34339, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5151O00046C0, ,Paróquia Salvador do Mundo, , ,-22.98994,-43.57798, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5151O00185C0, ,Paróquia Salvador do Mundo, , ,-22.989894,-43.577748, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,1158O00008C0, ,Ponto Final: São Januário, , ,-22.891283,-43.229098, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3114O00018C0, ,Ponto Final: Village Pavuna, , ,-22.816629,-43.378408, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4128O00136C0, ,Praia da Barra - Quebra Mar, , ,-23.014333,-43.298588, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00045C0, ,Praia do Recreio - Posto 10, , ,-23.025299,-43.458953, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00029C0, ,Praia do Recreio - Posto 10, , ,-23.025643,-43.458769, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00072C0, ,Praia do Recreio - Posto 11, , ,-23.02889,-43.468061, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00026C0, ,Praia do Recreio - Posto 11, , ,-23.028467,-43.46674, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5148O00078C9, ,Praça Guilherme Decaminada, , ,-22.884743,-43.639948, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3046O00063C0, ,Praça São João Berchmans, , ,-22.825531,-43.312878, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,ajvl, ,Praça do Largo do Mendanha, , ,-22.848336,-43.544299, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5144O00293C0, ,Praça do Largo do Mendanha, , ,-22.848384,-43.54405, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00024C0, ,Praça do Pontal - Tim Maia, , ,-23.031002,-43.472337, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00111C0, ,Praça do Pontal - Tim Maia, , ,-23.03074,-43.472596, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3089O00013C0, ,Professor Sebastião Fontes, , ,-22.87861,-43.35759, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2019O00025C0, ,Santuário São Judas Tadeu, , ,-22.9404,-43.19802, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5144O00631C9, ,Soldado Américo Desambiago, , ,-22.925743,-43.515917, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5146O00045C1, ,Soldado José Barbosa Filho, , ,-22.894165,-43.594796, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5146O00018C0, ,Soldado José Barbosa Filho, , ,-22.891145,-43.594571, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5144O00308C9, ,Soldado Valdemar de Almeida, , ,-22.923571,-43.5514, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,1005O00377T9, ,Terminal Procópio Ferreira, , ,-22.904806,-43.192141, , ,1, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,wrrl, ,Tindiba :: Linhas 380 e 390, , ,-22.925463,-43.370569, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3043O00033C0, ,Viaduto Luiz Carlos da Vila, , ,-22.83541,-43.28169, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3044O00031C0, ,Viaduto Luiz Carlos da Vila, , ,-22.83767,-43.28555, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4115BC0004E0,TCVSA,Vila Sapê - IV Centenário, , ,-22.95221,-43.37457, , ,1, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,1008O00022S0,Z25X,"BRS 1,2,3,4,5,I: Cidade Nova", , ,-22.91013,-43.205583, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2020O00058S0,4ANP,"BRS 1,2,3,I: Conde de Irajá", , ,-22.955184,-43.19476, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2025O00020S0,6EHC,"BRS 1,2,3,I: General Osório", , ,-22.985628,-43.198174, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2026O00052S0,RN8R,"BRS 1,2,3: Antero de Quental", , ,-22.98456,-43.22356, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,1009O00010S9,SYXG,"BRS 1,2,4: Largo do Estácio", , ,-22.91415,-43.20564, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2024O00030S0,2WPP,"BRS 1,3,I: Barão de Ipanema", , ,-22.97362,-43.1913, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,1005O00197C0,7KKY,"BRS 2,3,5,I: Luis de Camões", , ,-22.905593,-43.182786, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2033O00026S9,MMW5,"BRS 2,5,6,7,I: Carmela Dutra", , ,-22.92097,-43.22676, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2024O00037S0,2MGC,BRS 2: Figueiredo Magalhães, , ,-22.97113,-43.18675, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2024O00042S0,2VBW,BRS 2: Figueiredo Magalhães, , ,-22.96875,-43.18608, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,1005O00064S0,XRRU,BRS 2B: Praça da República, , ,-22.904784,-43.189485, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3061O00026S9,AVM7,"BRS 3,4,5,6: Gregório Neves", , ,-22.9051,-43.26781, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3060O00007S9,BQ9M,"BRS 3,4,5,6: Paes de Andrade", , ,-22.90386,-43.25888, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3063O00027S9,A949,"BRS 3,4,5,6: Thompson Flores", , ,-22.90576,-43.27688, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3061O00022C0,TDBA,"BRS 4,5,6: Conselheiro Jobim", , ,-22.90695,-43.27001, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2154O00022C0, ,Biblioteca Parque da Rocinha, , ,-22.988616,-43.248896, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2154O00012C0, ,Biblioteca Parque da Rocinha, , ,-22.988583,-43.249016, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5149O00319C0, ,CMS Aloysio Amancio da Silva, , ,-22.88528,-43.66854, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
