trip_id,start_time,end_time,headway_secs,exact_times
cb65dd5c-8ffe-4a26-ad78-bff24051f4dc,22:00:00,28:00:00,2400,0
e6d5bb46-2fe5-4ae4-bd04-ca68b8e6385e,09:05:30,09:43:00,450,0
7053c13a-fd41-4ce9-96e7-dfd01e35d333,19:34:00,22:02:00,4440,0
8ac4b709-5f1d-41f4-ae03-e862ecc2f364,06:25:00,09:10:00,1980,0
c40aa094-6e9c-4308-8874-c6777055a64c,06:40:00,08:40:00,3600,0
234b0466-e093-4f0e-9b21-8b63bc67d12f,05:25:00,10:45:00,1200,0
cd6a9733-a755-46d6-8c88-024e5613d0ec,08:40:00,21:10:00,3000,0
a0e808a3-47b1-4061-baee-5a9900d8d6cd,11:42:00,13:03:00,180,0
3a521f53-5f7f-4c79-83ac-2b599876d831,05:55:00,09:55:00,3600,0
a0bb89a6-d7ba-42da-8630-861d8cd3e03d,12:43:45,13:02:45,285,0
43ec7bca-c449-4e83-b27b-423d29f6abec,10:46:00,11:46:00,900,0
478601fb-cfaa-47ac-9741-78899cc2adda,17:45:00,20:05:00,2100,0
6e11e4a6-4499-46ec-afb7-03a022df681c,06:38:00,06:54:00,480,0
721df2f1-3a59-4e02-92ae-a1216049e7df,12:35:00,14:35:00,2400,0
a73ceafa-b6bd-4ac5-9069-fac5512e7203,06:35:00,07:25:00,1500,0
4e64b238-39dc-4e3d-ae60-f74e241c44e0,14:40:00,20:00:00,2400,0
dfc8639f-10b6-4e9e-a3e2-39129e8dfe49,07:40:00,08:40:00,1800,0
a84572e9-286b-47cc-a9e3-ad14162ba1d5,04:50:00,05:47:00,3420,0
b89190b2-8518-495d-8f37-79ad795827cc,05:30:00,06:30:00,3600,0
c138b832-8897-409b-870d-ed980e013edc,06:30:00,08:50:00,2100,0
bd0db154-45fe-4a5c-992f-7d4e3b019baa,19:40:00,22:10:00,3000,0
66bbf5dc-3720-4c87-ba58-ad25ba3664eb,08:50:00,10:50:00,2400,0
8057c5ce-1f96-425a-9fbc-5b85eff26809,10:50:00,14:20:00,2100,0
532a0f78-2e9c-4fe5-a2ba-01527141fb8a,05:15:00,05:40:00,1500,0
dab30a1d-f399-466d-ae5e-dc2716902d6c,09:55:00,22:25:00,3000,0
63395be4-bfac-4490-983f-b48c4d5f6103,22:30:00,23:40:00,2100,0
