service_id,date,exception_type
U_OBRA_007,20240702,1
U_DESAT_OBRA_007,20240702,2
U_OBRA_007,20240703,1
U_DESAT_OBRA_007,20240703,2
U_OBRA_007,20240704,1
U_DESAT_OBRA_007,20240704,2
U_OBRA_007,20240705,1
U_DESAT_OBRA_007,20240705,2
S_OBRA_007,20240706,1
S_DESAT_OBRA_007,20240706,2
D_OBRA_007,20240707,1
D_DESAT_OBRA_007,20240707,2
U_OBRA_007,20240708,1
U_DESAT_OBRA_007,20240708,2
U_OBRA_007,20240709,1
U_DESAT_OBRA_007,20240709,2
U_OBRA_007,20240710,1
U_DESAT_OBRA_007,20240710,2
U_OBRA_007,20240711,1
U_DESAT_OBRA_007,20240711,2
U_OBRA_007,20240712,1
U_DESAT_OBRA_007,20240712,2
S_OBRA_007,20240713,1
S_DESAT_OBRA_007,20240713,2
D_OBRA_007,20240714,1
D_DESAT_OBRA_007,20240714,2
U_OBRA_007,20240715,1
U_DESAT_OBRA_007,20240715,2
U_OBRA_007,20240716,1
U_DESAT_OBRA_007,20240716,2
U_OBRA_007,20240717,1
U_DESAT_OBRA_007,20240717,2
U_OBRA_007,20240718,1
U_DESAT_OBRA_007,20240718,2
U_OBRA_007,20240719,1
U_DESAT_OBRA_007,20240719,2
S_OBRA_007,20240720,1
S_DESAT_OBRA_007,20240720,2
D_OBRA_007,20240721,1
D_DESAT_OBRA_007,20240721,2
U_OBRA_007,20240722,1
U_DESAT_OBRA_007,20240722,2
U_OBRA_007,20240723,1
U_DESAT_OBRA_007,20240723,2
U_OBRA_007,20240724,1
U_DESAT_OBRA_007,20240724,2
U_OBRA_007,20240725,1
U_DESAT_OBRA_007,20240725,2
U_OBRA_007,20240726,1
U_DESAT_OBRA_007,20240726,2
S_OBRA_007,20240727,1
S_DESAT_OBRA_007,20240727,2
D_OBRA_007,20240728,1
D_DESAT_OBRA_007,20240728,2
U_OBRA_007,20240729,1
U_DESAT_OBRA_007,20240729,2
U_OBRA_007,20240730,1
U_DESAT_OBRA_007,20240730,2
U_OBRA_007,20240731,1
U_DESAT_OBRA_007,20240731,2
U_OBRA_007,20240801,1
U_DESAT_OBRA_007,20240801,2
U_OBRA_007,20240802,1
U_DESAT_OBRA_007,20240802,2
S_OBRA_007,20240803,1
S_DESAT_OBRA_007,20240803,2
D_OBRA_007,20240804,1
D_DESAT_OBRA_007,20240804,2
U_OBRA_007,20240805,1
U_DESAT_OBRA_007,20240805,2
U_OBRA_007,20240806,1
U_DESAT_OBRA_007,20240806,2
U_OBRA_007,20240807,1
U_DESAT_OBRA_007,20240807,2
U_OBRA_007,20240808,1
U_DESAT_OBRA_007,20240808,2
U_OBRA_007,20240809,1
U_DESAT_OBRA_007,20240809,2
S_OBRA_007,20240810,1
S_DESAT_OBRA_007,20240810,2
D_OBRA_007,20240811,1
D_DESAT_OBRA_007,20240811,2
U_OBRA_007,20240812,1
U_DESAT_OBRA_007,20240812,2
U_OBRA_007,20240813,1
U_DESAT_OBRA_007,20240813,2
U_OBRA_007,20240814,1
U_DESAT_OBRA_007,20240814,2
U_OBRA_007,20240815,1
U_DESAT_OBRA_007,20240815,2
U_OBRA_007,20240816,1
U_DESAT_OBRA_007,20240816,2
S_OBRA_007,20240817,1
S_DESAT_OBRA_007,20240817,2
D_OBRA_007,20240818,1
D_DESAT_OBRA_007,20240818,2
U_OBRA_007,20240819,1
U_DESAT_OBRA_007,20240819,2
U_OBRA_007,20240820,1
U_DESAT_OBRA_007,20240820,2
U_OBRA_007,20240821,1
U_DESAT_OBRA_007,20240821,2
U_OBRA_007,20240822,1
U_DESAT_OBRA_007,20240822,2
U_OBRA_007,20240823,1
U_DESAT_OBRA_007,20240823,2
S_OBRA_007,20240824,1
S_DESAT_OBRA_007,20240824,2
D_OBRA_007,20240825,1
D_DESAT_OBRA_007,20240825,2
U_OBRA_007,20240826,1
U_DESAT_OBRA_007,20240826,2
U_OBRA_007,20240827,1
U_DESAT_OBRA_007,20240827,2
U_OBRA_007,20240828,1
U_DESAT_OBRA_007,20240828,2
U_OBRA_007,20240829,1
U_DESAT_OBRA_007,20240829,2
U_OBRA_007,20240830,1
U_DESAT_OBRA_007,20240830,2
S_OBRA_007,20240831,1
S_DESAT_OBRA_007,20240831,2
D_OBRA_007,20240901,1
D_DESAT_OBRA_007,20240901,2
U_OBRA_007,20240902,1
U_DESAT_OBRA_007,20240902,2
U_OBRA_007,20240903,1
U_DESAT_OBRA_007,20240903,2
U_OBRA_007,20240904,1
U_DESAT_OBRA_007,20240904,2
U_OBRA_007,20240905,1
U_DESAT_OBRA_007,20240905,2
U_OBRA_007,20240906,1
U_DESAT_OBRA_007,20240906,2
D_OBRA_007,20240907,1
U_OBRA_007,20240907,2
D_DESAT_OBRA_007,20240907,2
U_DESAT_OBRA_007,20240907,2
D_OBRA_007,20240908,1
D_DESAT_OBRA_007,20240908,2
